cause,effect,lag,coef,abs_coef
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,3,0.011727166590005613,0.011727166590005613
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_EVENING_BREATH,4,0.009761713811854845,0.009761713811854845
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_MINT,3,-0.00918641304271402,0.00918641304271402
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_EVENING_BREATH,2,-0.008788558545829134,0.008788558545829134
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,1,0.008741447546224334,0.008741447546224334
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,1,-0.008662831313950693,0.008662831313950693
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,5,0.008050015274844042,0.008050015274844042
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,3,-0.007205833429296008,0.007205833429296008
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_GARLIC,4,-0.007096691547484497,0.007096691547484497
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_GARLIC,2,-0.006342480775481805,0.006342480775481805
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_EVENING_BREATH,1,-0.0054635576964268285,0.0054635576964268285
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,1,-0.004434448650730255,0.004434448650730255
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_EVENING_BREATH,5,-0.002944306155576512,0.002944306155576512
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,5,-0.0026353527717714433,0.0026353527717714433
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,2,-0.0026285617578543268,0.0026285617578543268
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,2,-0.002504038780197464,0.002504038780197464
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_GARLIC,3,-0.0004092078178201652,0.0004092078178201652
