a,b,corr_at_0,peak_corr,peak_abs,peak_lag,interpretation
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,0.005392790450853784,0.02259506999183435,0.02259506999183435,18,OXYGEN_SHAKE_EVENING_BREATH leads OXYGEN_SHAKE_MINT by 18
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,0.008811541375152058,-0.018988587907113413,0.018988587907113413,5,OXYGEN_SHAKE_MORNING_BREATH leads OXYGEN_SHAKE_EVENING_BREATH by 5
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_CHOCOLATE,0.0031766245129516615,0.018139115736204855,0.018139115736204855,-19,OXYGEN_SHAKE_CHOCOLATE leads OXYGEN_SHAKE_MORNING_BREATH by 19
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_GARLIC,0.013001888873058145,-0.017553031590875973,0.017553031590875973,49,OXYGEN_SHAKE_MORNING_BREATH leads OXYGEN_SHAKE_GARLIC by 49
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_GARLIC,0.0031921088204576206,-0.017490174679467306,0.017490174679467306,28,OXYGEN_SHAKE_MINT leads OXYGEN_SHAKE_GARLIC by 28
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_MINT,0.007159148928150796,0.016505734268682477,0.016505734268682477,29,OXYGEN_SHAKE_MORNING_BREATH leads OXYGEN_SHAKE_MINT by 29
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,0.006958073217187019,-0.01626179360638261,0.01626179360638261,-1,OXYGEN_SHAKE_GARLIC leads OXYGEN_SHAKE_EVENING_BREATH by 1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,0.006776570793153743,0.01611514975398321,0.01611514975398321,23,OXYGEN_SHAKE_CHOCOLATE leads OXYGEN_SHAKE_GARLIC by 23
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_CHOCOLATE,0.009184586180367578,-0.01608731681230474,0.01608731681230474,40,OXYGEN_SHAKE_EVENING_BREATH leads OXYGEN_SHAKE_CHOCOLATE by 40
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_CHOCOLATE,0.006643705650532822,0.013666408872800701,0.013666408872800701,-30,OXYGEN_SHAKE_CHOCOLATE leads OXYGEN_SHAKE_MINT by 30
